Home Assistant notifications (Log started: 2024-11-18T10:19:53.135792+00:00),,
--------------------------------------------------------------------------------,,
Heure, Cout Maison €, Cout Reseau €
2024-12-03T09:02:47.840641+00:00 ,3.0, 1.76
2024-12-03T22:59:00.152874+00:00 ,10.47, 1.89
2024-12-04T22:59:00.166704+00:00 ,3.55, 0.80
2024-12-05T22:59:00.159668+00:00 ,2.6, 2.02
2024-12-06T22:59:00.154384+00:00 ,3.68, 2.34
2024-12-07T22:59:00.345550+00:00 ,2.26, 2.64
2024-12-08T22:59:00.350556+00:00 ,3.53, 3.06
2024-12-09T22:59:00.344206+00:00 ,3.71, 3.50
2024-12-10T22:59:00.412344+00:00 ,9.29, 2.84
2024-12-11T22:59:00.410093+00:00 ,11.61, 6.46
2024-12-12T22:59:00.096888+00:00 ,2.54, 1.05
2024-12-13T22:59:00.188764+00:00 ,12.15, 1.92
2024-12-14T22:59:00.353943+00:00 ,2.51, 1.64
2024-12-15T22:59:00.346059+00:00 ,3.75, 3.18
2024-12-16T22:59:00.099127+00:00 ,12.24, 1.79
2024-12-17T22:59:00.312815+00:00 ,3.07, 0.68
2024-12-18T22:59:00.315302+00:00 ,3.96, 1.99
2024-12-19T22:59:00.202867+00:00 ,2.28, 3.75
2024-12-20T22:59:00.174868+00:00 ,4.38, 2.40
2024-12-21T22:59:00.171542+00:00 ,2.32, 1.85
2024-12-22T22:59:00.219580+00:00 ,3.27, 4.73
2024-12-23T22:59:00.222145+00:00 ,3.78, 14.17
2024-12-24T22:59:00.141587+00:00 ,4.48, 10.23
2024-12-25T22:59:00.138359+00:00 ,4.06, 3.85
2024-12-26T22:59:00.138249+00:00 ,5.01, 2.61
2024-12-27T22:59:00.138512+00:00 ,15.14, 2.18
2024-12-28T22:59:00.136105+00:00 ,3.77, 1.05
2024-12-29T22:59:00.163107+00:00 ,2.42, 1.35
2024-12-30T22:59:00.161462+00:00 ,10.14, 3.35
2024-12-31T22:59:00.160774+00:00 ,4.05, 3.16
2025-01-01T22:59:00.159201+00:00 ,4.48, 2.69
2025-01-02T22:59:00.160077+00:00 ,9.33, 1.37
